"consignee","sku","sku_group","uom","lower_uom","units_per_lowest_uom","net_weight","length","width","height","volume","transport_class","stock_category","storage_class","pollution_class","max_stack","orientation_constraint"
"WH1","F2019071700040420000","To cook & heat","E","","","0.508","30","30","2","1800","J","THT","02","","",""
"WH1","F2019071700040430000","To cook & heat","E","","","0.579","30","30","2","1800","J","THT","02","","",""
"WH1","F2019071700040440000","To cook & heat","E","","","0.566","30","30","2","1800","J","THT","02","","",""
"WH1","F2019071700040450000","To cook & heat","E","","","0.546","30","30","2","1800","J","THT","02","","",""
"WH1","F2019071700040460000","To cook & heat","E","","","0.53","30","30","2","1800","J","THT","02","","",""
"WH1","F2019071700040480000","To cook & heat","E","","","0.574","30","30","2","1800","J","THT","02","","",""
"WH1","F2019071700040490000","To cook & heat","E","","","0.529","30","30","2","1800","J","THT","02","","",""
"WH1","F2019071800040520000","To cook & heat","E","","","0.534","30","30","2","1800","J","THT","02","","",""
"WH1","F2019071800040580000","To cook & heat","E","","","0.549","30","30","3","2700","J","THT","02","","",""
"WH1","F2019071900040660000","Fruits","E","","","0.814","19","10","10","1900","J","THT","02","","",""
"WH1","F2019072300040700000","To cook & heat","E","","","0.485","6","16","18","1728","J","THT","02","","",""
"WH1","F2019072300040710000","Charcuterie","E","","","0.104","24","20","2","960","J","THT","02","","",""
"WH1","F2019072400040770000","Charcuterie","E","","","0.116","19","12","2","456","N","THT","02","","",""
"WH1","F2019072900041130000","Ready to use fresh vegetables  & prepare","E","","","0.305","21","20","5","2100","N","THT","02","","",""
"WH1","F2019072900041140000","Ready to use fresh vegetables  & prepare","E","","","0.405","23","21","5","2415","N","THT","02","","",""
"WH1","F2019072900041160000","Prepacked bread","E","","","0.407","16","16","8","2048","N","THT","01","","",""
"WH1","F2019080100041310000","Fresh Juices","E","","","0.982","8","8","24","1536","N","THT","02","","",""
"WH1","F2019080500041650000","Cheese","E","","","0.31","3","19","27","1539","N","THT","02","","",""
"WH1","F2019080500041750000","Cheese","E","","","0.205","2","10","14.000000000000002","280","N","THT","02","","",""
"WH1","F2019080600041830000","Vegetarian products","E","","","0.23","17","13","4","884","N","THT","02","","",""
"WH1","F2019080700041890000","Ingredients dairy","E","","","0.269","6","6","13","468","N","THT","02","","",""
"WH1","F2019080800042010000","Confectioner s","E","","","0.225","14.000000000000002","7.000000000000001","6","588","J","THT","02","","",""
"WH1","F2019081300042190000","Fresh meat packed","E","","","0.62","23","18","5","2070","J","THT","02","","",""
"WH1","F2019081300042200000","Prepacked bread","E","","","0.345","12","12","16","2304","N","THT","01","","",""
"WH1","F2019081300042220000","Poultry & rabbit & exotic","E","","","0.267","20","16","4","1280","N","THT","02","","",""
"WH1","F2019081300042250000","Poultry & rabbit & exotic","E","","","0.267","20","16","4","1280","N","THT","02","","",""
"WH1","F2019081300042260000","Poultry & rabbit & exotic","E","","","0.267","20","16","4","1280","N","THT","02","","",""
"WH1","F2019081300042300000","","E","","","0.64","23","18","5","2070","J","THT","02","","",""
"WH1","F2019081300042310000","Poultry & rabbit & exotic","E","","","0.474","20","16","5","1600","N","THT","02","","",""
"WH1","F2019081300042350000","Poultry & rabbit & exotic","E","","","1.039","27","18","7.000000000000001","3402","N","THT","02","","",""
"WH1","F2019081300042360000","","E","","","0.69","23","18","5","2070","J","THT","02","","",""
"WH1","F2019081300042380000","Poultry & rabbit & exotic","E","","","0.419","20","16","5","1600","N","THT","02","","",""
"WH1","F2019081300042390000","Poultry & rabbit & exotic","E","","","1.039","27","18","7.000000000000001","3402","N","THT","02","","",""
"WH1","F2019081400042510000","","E","","","0.74","23","18","5","2070","J","THT","02","","",""
"WH1","F2019081400042520000","","E","","","0.69","23","18","5","2070","J","THT","02","","",""
"WH1","F2019081400042530000","","E","","","0.59","23","18","5","2070","J","THT","02","","",""
"WH1","F2019081600042560000","Cheese","E","","","0.206","2","14.000000000000002","22","616","N","THT","02","","",""
"WH1","F2019081600042570000","Cheese","E","","","0.204","15","5","3","225","N","THT","02","","",""
"WH1","F2019081600042590000","","E","","","0.69","23","18","5","2070","J","THT","02","","",""
"WH1","F2019081600042620000","","E","","","0.64","23","18","5","2070","J","THT","02","","",""
"WH1","F2019081900042700000","","E","","","0.6","23","18","5","2070","J","THT","02","","",""
"WH1","F2019081900042710000","","E","","","0.64","23","18","5","2070","J","THT","02","","",""
"WH1","F2019081900042840000","Fresh Juices","E","","","0.831","8","8","24","1536","N","THT","02","","",""
"WH1","F2019082000042900000","Poultry & rabbit & exotic","E","","","0.519","19","14.000000000000002","6","1596","J","THT","02","","",""
"WH1","F2019082300043340000","Cheese","E","","","0.248","21","18","2","756","J","THT","02","","",""
"WH1","F2019082900043870000","Cheese","E","","","0.19","20","13","2","520","N","THT","02","","",""
"WH1","F2019082900043880000","Cheese","E","","","0.155","19","15","2","570","N","THT","02","","",""
"WH1","F2019082900043940000","","E","","","0.297","9","9","2","162","J","THT","02","","",""
"WH1","F2019083000043980000","","E","","","0.535","6","16","18","1728","J","THT","02","","",""
